"X","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"1060P11.3 /// KIR3DP1",4.24362304781261,4.24362304781261,4.29402971507532,4.11612236165884,4.30565985501866,4.22150268107453
"A1BG",4.6049251776333,4.35412245217195,4.53001587362808,4.79889350071668,4.39816804318561,4.53888107986526
"A1CF",4.33536251749288,4.52991707795921,4.3594635168385,4.36478843898269,4.46617543794458,4.29676687258038
"A2M",4.18270656596896,4.04680543551095,4.18598616583028,4.14073423467695,4.16536814237272,4.1379904104809
"A2ML1",3.60450432942138,3.58822434344227,3.70471213300335,3.73109068407545,3.50676843758736,3.64744087091259
"A3GALT2",3.64268478342258,3.77132118936058,3.74978866024112,3.77636932023792,3.66039430947632,3.70091556630502
"A4GALT",4.43294093963586,4.40906861725451,4.35604740121416,4.13649008321976,4.25408602840059,4.2282917015646
"A4GNT",4.9375362031512,4.68937700077552,4.79412120268999,5.15839043737874,4.96069093361233,4.81605674097908
"AAAS",8.1613872012816,8.14965742253958,8.2189366475195,8.49648820003182,8.46598999279854,8.52425985032146
"AACS",8.19440370010781,8.23607962308649,8.24662562907555,7.98019173545848,7.99543039450635,8.10856019916124
"AACSP1",4.752690355673,4.90095799744809,4.77792953190601,4.77468043968316,4.64796296733282,4.74966556072644
"AADAC",5.63845939186832,5.55458237530154,5.54883824201181,8.40947336722787,8.43720599300723,8.44895094203163
"AADACL2",3.32781510480688,3.39760449174938,3.38282530342377,3.37650415414203,3.29457602924415,3.37871854038307
"AADACL3",4.29112766184925,4.43714730366936,4.54560650440415,4.42850630898071,4.37745081373405,4.35927972832883
"AADACL4",3.50781572622971,3.38217601233588,3.20586987419489,3.6074405147822,3.59322128297376,3.59322128297376
"AADAT",6.00270240286218,5.8642605097268,5.95696139352138,5.11145306198702,5.39488947477607,5.30856995624093
"AAED1",10.080090650686,10.0703312318476,10.0733015169572,10.0587667942412,10.0558221551216,10.1522201101002
"AAGAB",8.4055190214603,8.35555780796039,8.37159891870199,8.6834472643272,8.76501834382014,8.80599974166538
"AAK1",5.57499314202936,5.61110792612563,5.59883193751314,5.69540673936434,5.71930410781403,5.65614540549994
"AAMDC",8.52042761509303,8.44738130588522,8.53770586993435,8.46207940565781,8.45905887529528,8.50523626695505
"AAMP",10.3235213529594,10.2863031411194,10.3481223036112,10.1638033076658,10.149162633038,10.2237348817096
"AANAT",5.25764062713845,5.20942016903096,5.25335201410336,5.28383416984596,5.26691026202533,5.20134403473553
"AAR2",6.79653772459205,6.7795159115637,6.69615113441993,6.96118149077144,6.98844036356868,7.05493411376728
"AARD",4.33467469781605,4.39405375166738,4.39050152743837,4.32305043072721,4.42726597139074,4.24401069721597
"AARS",9.63603816486882,9.54835033359091,9.59355024104572,8.98532903248925,8.98562565482113,9.00428797116281
"AARS2",6.45514961356064,6.40628473645788,6.50747336109913,6.37596774800209,6.46101361248774,6.25547724999036
"AARSD1 /// PTGES3L-AARSD1",8.32075647989006,8.39308807804972,8.21627948987888,9.11599383188556,9.05449895801948,9.17838072305158
"AASDH",7.40924333141194,7.49114062953877,7.3605775627868,7.84219904907344,7.86106838277942,7.86798612933148
"AASDHPPT",9.90744888386331,9.94346469307914,9.90509250246431,9.8749074172277,9.88835590569018,9.82409604297518
"AASS",7.49186328762948,7.5895058802996,7.43564262313134,8.04851500460122,8.06327567154363,8.03657498961884
"AATF",10.0187699242787,10.0235820406838,10.0427786704376,10.4733477318274,10.4974775872818,10.4318689426013
"AATK",6.36852865638067,6.39824334425569,6.51659759640924,6.60340159783413,6.44487348122602,6.52495820699569
"ABAT",4.09927192505961,4.31457703970129,4.22985580202213,4.24074055666809,4.15303482293105,4.28646164040631
"ABCA1",5.76364175373365,5.8163213035217,5.78281926702794,6.12285916427888,6.10902009895983,6.09381218722122
"ABCA10",5.45789152087131,5.4078138849875,5.38612743335765,7.19554439215052,7.20661972506354,7.18207245359814
"ABCA11P /// ZNF721",5.15611783298839,5.07962028384276,5.12409475354402,4.92121190851573,4.98583399450906,5.18509005899943
"ABCA12",4.15975392207375,4.12223821500866,4.27427818230939,4.26179643088859,4.61121817135187,4.34950873236428
"ABCA13",3.31711939380727,3.1501797811283,3.02151079896545,7.5047852703328,7.64280539435458,7.59428467441526
"ABCA2",5.06248708339535,5.20438284657559,5.21167758540009,5.05656487292765,5.01345344227331,4.83235683835051
"ABCA3",4.79613161587967,4.78723338636876,4.79673569282896,4.63369292292524,4.58485045538451,4.70792344238993
"ABCA4",4.77260940244203,4.81077909236296,5.05556093879536,5.05079068088365,5.05824130108243,4.95822088420716
"ABCA5",5.75637335190544,5.83618041629503,5.7210984267038,6.43583933107667,6.34391607188515,6.38089051761851
"ABCA6",4.01805345458049,4.08069876322985,4.22173298768207,4.49302343979493,4.50607513001024,4.35905985822465
"ABCA7",5.94529056225801,5.79320119762103,5.85086767980673,5.65236200510759,5.83228268660407,5.72583885270335
"ABCA8",3.57425541106396,3.51168553152273,3.49366332841366,3.69808323969692,3.52791022181939,3.54376879418138
"ABCA9",3.37963412529561,3.18997244126862,3.36908306618947,3.5267628448211,3.52129516063908,3.64089905789932
"ABCB1",5.828807024885,5.92605784900988,5.90595094467348,6.91474532566307,6.9834351807047,6.97751435309
"ABCB10",9.10389375920403,9.16801397288972,9.1527359208409,7.4681845270397,7.5825663467549,7.54588610061008
"ABCB11",3.69994547636622,3.85990451495398,3.65937343369203,3.64686805647835,3.8670386813533,3.65665111825166
"ABCB4",5.0294253665374,5.12592424403911,5.04975875957052,4.69406450120989,4.69061504398764,4.55662246326284
"ABCB5",3.95204703385031,4.04493134465587,4.04430943001649,3.97314831371625,3.89858155860271,3.84224245665712
"ABCB6 /// ATG9A",7.6471128782097,7.68064278145292,7.71034462259001,7.45131346527534,7.49145210842374,7.54614506861821
"ABCB7",8.80477520372734,8.88045730699877,8.9073793088658,9.47047873876536,9.62371029318714,9.61324636823758
"ABCB8",5.8782687500374,5.84740136148509,5.78395187944067,5.81203681059118,5.86188790396923,5.93083515543705
"ABCB8 /// ASIC3",5.76348672615079,5.87062373787068,5.7923890234085,6.45214988960345,6.21190497280881,6.01521334398693
"ABCB9",5.71521607477687,5.80086994306691,5.74997448803409,6.01876425508782,6.0325127921158,5.95945155570632
"ABCC1",7.59663515838454,7.61224898224761,7.61310940575741,7.62996303085988,7.66214897278593,7.58760685253384
"ABCC10",5.93030408358156,5.96458176334588,5.93509000121191,5.70178412324809,5.52795092014709,5.63452044897003
"ABCC11",4.79133491324625,4.99837666668913,4.84114764984382,4.89480294244047,4.91634950421206,4.87749079503128
"ABCC12",4.11755854529348,4.04907567460377,4.07479454684403,4.09128405508175,3.97901539844544,4.16888329214362
"ABCC13",3.4795896023235,3.43691475046313,3.48299774329208,3.64018598235584,3.50187162052282,3.59742397031302
"ABCC2",5.7147988399849,5.79330297583067,5.65292345063317,8.10190848227601,8.0632955789215,8.04331811046919
"ABCC3",7.40893324494854,7.47856541483129,7.38081827948828,6.90128319334389,6.7829816115519,6.83392682124098
"ABCC4",7.11386866451567,7.1434882359903,7.17398683406269,6.65973995962169,6.54808475705705,6.62228185085266
"ABCC5",7.52501952652132,7.49744066669278,7.47085757603155,6.69786641661529,6.64441429191351,6.80723075174334
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC105369239",3.63041724025837,3.78171086564389,3.67819332267944,3.17740342744487,3.29974967443383,3.23375452398262
"ABCC6 /// ABCC6P1 /// LOC105369239",5.82784183740306,5.68149970818953,5.90812480653318,5.864640655146,5.84020779836609,5.87339916878614
"ABCC6 /// LOC105369239",5.33856855551232,5.31157927207181,5.24452462348053,5.38895168146193,5.24294306116965,5.30493119283786
"ABCC6P1",3.27711811265021,3.34630062173934,3.38144528816013,3.19214503863888,3.19210239836815,3.30546574126119
"ABCC8",4.73418533846628,4.66467072371561,4.87753281921352,4.71926854089792,4.70856465882097,4.80709032432451
"ABCC9",5.49628996042549,5.54268789724201,5.48198671299775,8.00160029759017,8.0580235521537,8.05016601024433
"ABCD1",6.03331996256051,6.09019817168006,6.0602030524968,6.40749318453989,6.32249073249854,6.26280447664759
"ABCD2",3.36575507960062,3.32734740909356,3.46148329484022,3.43642392806863,3.35281200913064,3.37057549508488
