"","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"EGR1",4.96599404265614,5.01051747700566,4.93962543058776,10.6966127744348,10.6950731405575,10.7274134236623
"ANKRD1",4.82707028780358,4.8246550172334,4.91841257240715,9.34448945234233,9.31163958929614,9.28947920433955
"IL24",5.17998721433848,5.23652139896098,5.19881595087238,9.80400991803557,9.92300301820935,9.85363760330122
"CXCL3",8.36111608576371,8.35583740485488,8.33288125690298,12.0129872097227,11.9753074200062,11.9630316265417
"ARID5B",6.67895936055721,6.7063460665671,6.66247289153575,10.5525736592238,10.5603319447782,10.6224512286672
"KRTAP2-3",8.66908759501166,8.65659396155844,8.63794725974375,12.0177933667983,12.0139700943675,11.9825161389998
"CSF2",9.6216123118895,9.64312538492718,9.57714578805857,13.0570657876711,13.0597755488362,13.0300457502084
"HIST2H2BC",4.98451685852375,4.90143360835524,4.95489361820955,9.33589090246517,9.46606867576035,9.41910232173808
"PPP1R15A",8.33537489746076,8.28483774296581,8.38390321281543,12.0305807693318,12.0090592547689,12.052680793074
"EGR2",4.31570011872118,4.27763229038075,4.2523181464994,7.79154772478908,7.85095276969539,7.78930358647221
"SDSL",6.3150370584147,6.29677558698874,6.29605463689389,9.80756367055072,9.82456659330951,9.74059335764621
"OSGIN1",6.98463738568663,6.93647553623413,6.99761047363453,10.2105736175463,10.2633566235171,10.2220719113499
"HBEGF",7.9753793063233,7.99961294412718,7.9166254766923,11.242642782423,11.2385866951998,11.2593615802286
"LMNB1",9.30935666954964,9.32021682892931,9.34191747303776,5.74785927960376,5.82527264809168,5.71566666236768
"MMP3",4.41842467299279,4.32312666141724,4.28467057696203,9.3006243136205,9.23745883537105,9.13762511372684
"TXNIP",8.77376495251993,8.78070729888738,8.70335362498257,11.8986541711167,11.9261978884598,11.9177672917413
"PPP1R3C",6.80886214229404,6.81104200879348,6.73657645917383,9.9077521362638,9.94334700076488,9.90903673813733
"DDIT3",7.34780007731197,7.31091556446609,7.25953435143238,11.0958884385487,11.2205993926652,11.1368748108105
"HECW2",4.458542597892,4.53001919392113,4.62443068603627,8.76853504634435,8.84802706783583,8.84635524967232
"DHRS2",4.80714603521515,4.55689859857605,4.46732955735426,11.8136292134659,11.7261145061983,11.8359199052327
"NEURL1B",7.65578697145763,7.66258743610493,7.65155572197746,4.91905325043479,4.88088231542143,4.85869273257587
"C6orf58",5.23390985315722,5.19764061275342,5.17048211084743,8.78977889292249,8.92120256543157,8.84481697709612
"FOS",5.92038774192036,5.85582659597053,5.96016406901212,9.46128270142881,9.50305608482127,9.56304393058256
"HIST2H2AA3 /// HIST2H2AA4",7.59700821877801,7.60492979240313,7.56441602773433,10.3719020964371,10.4192757552043,10.3628355839408
"IL1RL1",4.62276320596773,4.56401018095038,4.49611894581466,8.23306042755333,8.22747646469888,8.3128963807236
"LMNB1 /// PCIF1",9.22406467125531,9.26377314702428,9.1578784141168,5.32519813364719,5.32041193069352,5.43869576078374
"CFAP58",3.52812880711965,3.64783993086733,3.49566695838687,7.9560201203261,8.10202698201466,8.04686266886168
"MYEF2",4.09443157362371,4.0673673094095,4.13516141888552,6.84578754429122,6.83690019199252,6.87431474059993
"RIMS2",5.81647950731058,5.79698389057393,5.78705025102632,8.23693331966017,8.23397059273103,8.23055759829244
"RND3",9.81778401412485,9.83838407228699,9.78953057556707,12.3782788116527,12.4058315989841,12.3783622743958
"HIST1H4H",4.77938127029845,4.73048081766358,4.90980947139216,9.27929263135308,9.18090886131625,9.30279499066358
"ARL5B",5.63948923723018,5.65419953460132,5.66670426785714,8.5930296600104,8.63651099713413,8.53110481126156
"SNHG12",10.1063095350025,10.1415488312243,10.1956629372628,12.9141574192583,12.9359245928081,12.9407217651029
"SERPINB2",9.14006992532954,9.25072589339783,9.23549249788428,13.4363339996129,13.2749523347733,13.2944160323379
"KLF5",7.6463426746782,7.62538669768723,7.6559782118561,10.1590204293065,10.2229639493523,10.2071567973476
"AADAC",5.63845939186832,5.55458237530154,5.54883824201181,8.40947336722787,8.43720599300723,8.44895094203163
"CREB5",6.57774820436136,6.62200636951931,6.54098961963785,9.20682998922369,9.23783292474907,9.21856513565682
"ARL14",4.01782296387054,4.1682705790308,3.80334213675696,10.2594623264123,10.288194048252,10.2780589246901
"CREBRF",5.82569006336399,5.78520587575154,5.72388047870566,8.5845222574861,8.61543161700076,8.56474107207149
"EPG5",7.0867568354526,7.09254361050972,7.01750835853576,9.63671595498689,9.66341348216936,9.67139138308463
"NABP1",7.51502421251782,7.49820242902876,7.44118086043226,9.96058034284894,9.95435191744211,9.95153020135491
"EFEMP1",10.3851378198028,10.3587850494068,10.3400141362362,7.94518198256425,7.93402796955031,7.98482679227817
"ST7L",5.06271532134751,5.12022411668812,5.10463994108284,7.5367527069815,7.54737628940788,7.58631858024533
"ABCC9",5.49628996042549,5.54268789724201,5.48198671299775,8.00160029759017,8.0580235521537,8.05016601024433
"TRIML2",8.96759252095239,8.97207009891737,8.96843987428639,11.2117283067424,11.2574283046712,11.2218239370896
"PLA2G4C",3.8791289912563,3.77728163216991,3.9151740166016,6.91941101909906,6.94518019255195,6.93245651813978
"ZNF441",6.5022647622702,6.55567282952199,6.52449594206176,9.60583378151118,9.73186988429594,9.61605357414028
"IER2",9.39734171470738,9.29451072465747,9.33714339643713,12.0038064635905,12.0152843479961,12.0307348639523
"ADTRP",5.49117674280225,5.38547773298611,5.3737718449661,8.32387092250892,8.34703604485344,8.34865936253954
"ARRDC3",6.3829964080661,6.32996346499017,6.41703216617921,8.88629107711201,8.89575321607676,8.87402155972253
"KLRC1 /// KLRC2",4.88473313489605,4.91116656722258,4.96966634034246,9.32011537411537,9.57435825101389,9.43674306872986
"CDKN2B",5.46482552760043,5.44976720978971,5.3876334455275,8.20335834417635,8.11824453379743,8.14899101857444
"AREG",6.39556316675729,6.54062278638914,6.43938117367676,10.0015638083534,10.0734577878329,9.94878397883855
"ATF3",5.29332055604802,5.33817921075294,5.19161872196749,8.34800586238869,8.39428690553913,8.38947615549736
"PPP1R10",7.53144353812659,7.57585380713021,7.52199665691777,9.77888156178517,9.76743439558117,9.78159514998364
"SERPINB7",5.80577982020435,5.86325233227099,5.69249253670368,9.50960896887815,9.63887377909722,9.56148533415902
"SCG2",3.96593415043707,3.91048116177321,3.86138103363484,8.2361757520931,8.47833543599367,8.30204024178263
"SCD",8.70545334158357,8.71829726451371,8.66885911200156,6.0434677085848,6.14184469336245,6.07150335119504
"CPEB4",5.87876799099192,5.86857626301589,5.79761431036776,8.42131294152381,8.48392540008144,8.42772923474416
"FILIP1L",6.87636215078397,6.85671584311777,6.89315653465199,9.06202787699614,9.09102896005937,9.0454858959331
"H1F0",10.0319884921793,10.0230434020764,9.99939238146878,12.303582846488,12.2764339388727,12.2425548363637
"HRH1",7.42005536500004,7.39931362676417,7.33081048192453,10.0341525674401,10.04207736358,10.1064893923611
"DUSP5",9.24751717094642,9.23749735530813,9.18035659411161,11.5571377734145,11.5698315139059,11.6008313045542
"ARRDC4",4.8367865785548,4.79876772381024,4.75227139333461,7.97489585722943,8.12522215297428,8.01300236391278
"CD163L1",7.49169747544169,7.61214715297712,7.64797959798335,10.7840172897113,10.852898939641,10.8129311279888
"THUMPD2",6.26186303846479,6.29116112042193,6.31953845518858,9.09164757986103,9.15407121878595,9.22540917807225
"CNST",6.73099344088481,6.71029708822033,6.6959825913935,8.85598660307858,8.87198237519112,8.82660059651911
"HIST1H4J /// HIST1H4K",7.50903248429459,7.50640153910023,7.46901962339198,10.1147026143973,10.1748029948967,10.2352391661035
"TNFRSF9",5.1589648415607,4.98240195418155,5.05605634730803,9.0208469345359,9.19857120254463,9.10665569392998
"HIST1H2BD",6.14789359275439,6.20449353608914,6.12882308968019,8.62617554025128,8.68707759275316,8.69883496396436
"DZIP3",6.29124827927406,6.30912513975795,6.28685303060222,8.61986183298925,8.71011560725278,8.65168782162074
"CXCL2",10.7076166200238,10.6739932600405,10.6125182102512,13.2302552399493,13.222091315958,13.1693454062882
"ZBTB20",7.57520956926398,7.55830556614852,7.57393674611322,9.64156719873902,9.69014188964919,9.68394935507684
"ADPRM",6.95313481285143,7.00123341749564,6.80730837070901,10.3492309377309,10.3793343741502,10.3861282550708
"ARL4C",10.0154072539969,10.0356669483712,10.0055314834602,7.56326305935836,7.53756035984615,7.63608674681898
"OSER1",8.72056968124269,8.74152194689352,8.76566273823152,10.7732347315204,10.7836007498036,10.7755182828146
"WHAMM",9.3298712522116,9.27241465284845,9.27245700465901,11.5377561246435,11.5617693733206,11.5939590831357
"TNFAIP3",9.17040641986933,9.11643395699059,9.12401147455513,12.0978105227765,12.094305941397,11.9680234368767
"TSPAN2",6.95399111118287,6.97039199064361,6.8532484746604,9.62096503607912,9.68092527952572,9.64957798688948
"RSRC2",9.49679392719709,9.45537337366558,9.42270478125222,11.7941804035851,11.7510028290732,11.7431757198321
"ADM",8.47492597304569,8.50554915187078,8.46488247970168,10.548608158766,10.556158838339,10.5866539686184
"ARNTL",6.48176006798545,6.53022656488489,6.55393663072372,8.69929589471885,8.72766538878227,8.7304287577269
"MAP3K7CL",6.6911578603511,6.69313263099528,6.69447399780309,8.88954728232968,8.8990187324366,8.82662113208765
"LPCAT1",9.77776893457814,9.79454682038081,9.76737355619043,7.73473320457926,7.74997101991772,7.77857947421877
